company_brand,sector,stage,amount,headquarter,about_company,year,founded,founders,investor,Category
StockEdge,analytics apps market research,Seed,1100000.0,Kolkata,"StockEdge is a unique platform, which is 100% focused on research and analytics",2018,2017,Unknown,Undisclosed,technology
Sequretek,Other,Venture,3700000.0,Mumbai,Sequretek is a cyber security start-up.,2018,2017,Unknown,Undisclosed,Other
Avenues Payments India Pvt. Ltd.,Other,Other,1300000.0,Mumbai,Avenues Payments is an IT solutions provider for the remittance\money transfer and forex industries.,2018,2017,Unknown,Undisclosed,Other
Qbera,finance financial services,Venture,2044000.0,Bangalore,Qbera is a managed marketplace for unsecured personal loans.,2018,2017,Unknown,Undisclosed,fintech
Urban Ladder,ecommerce ecommerce platforms furniture home decor internet,Debt,5600000.0,Bangalore,Urban Ladder is a Bangalore-based online furniture company.,2018,2017,Unknown,Undisclosed,technology
Planet11 eCommerce Solutions India (Avenue11),Other,Other,3796000.0,Bangalore,"Planet11 is backed by SK Planet, which is a part of the SK Group – one of the largest conglomerates in South Korea.",2018,2017,Unknown,Undisclosed,Other
DailyNinja,apps mobile mobile apps software,Series A,0.0,Bangalore,"Daily Ninja, a mobile app that delivers daily needs on a subscription model",2018,2017,Unknown,Undisclosed,technology
Iba Halal Care,Other,Series A,2190000.0,Ahmedabad,Iba Halal Care is a cosmetics brand company.,2018,2017,Unknown,Undisclosed,Other
Knocksense,news publishing social media,Seed,0.0,Lucknow,Knocksense is a fast growing lifestyle website.,2018,2017,Unknown,Undisclosed,media and entertainment
Togedr,Other,Venture,0.0,Gurgaon,Togedr is an activity discovery & booking platform.,2018,2017,Unknown,Undisclosed,Other
Parkwheels,industrial industrial automation,Seed,175200.0,Haryana,"Parkwheels aims at solving the big, bad & unsexy parking problems of India.",2018,2017,Unknown,Undisclosed,technology
ShareChat,internet mobile apps social network,Series C,99230000.0,Bangalore,ShareChat is a social networking and regional content platform for the fast growing Internet users in India.,2018,2017,Unknown,Undisclosed,technology
Cyclops Medtech,health care health diagnostics internet of things life science machine learning medical medical device,Seed,1000000.0,Bangalore,Medtech startup working on clinical and wearable diagnostic and rehab products for neuro vestibular disorders using eye tracking technology.,2018,2017,Unknown,Undisclosed,technology
